indie,action,casual,adventure,strategy,simulation,rpg,free_to_play,cluster,color
0,4,0,1,1,0,0,2,0,red
2,4,0,2,2,1,0,0,0,red
1,7,0,4,0,0,2,0,0,red
0,6,0,0,1,0,0,1,0,red
51,60,9,47,18,15,26,3,2,peru
0,3,0,0,0,1,0,1,0,red
2,27,2,6,1,0,2,3,0,red
0,3,0,0,0,0,0,1,0,red
1,6,0,2,1,0,1,0,0,red
0,2,0,0,0,0,0,0,0,red
0,2,0,0,0,0,0,0,0,red
0,2,0,0,0,0,0,0,0,red
66,63,16,35,16,7,19,3,2,peru
1,4,0,0,1,0,0,2,0,red
0,3,0,0,0,0,0,0,0,red
0,5,0,0,0,0,0,0,0,red
0,2,0,0,0,0,0,0,0,red
2,10,0,4,3,0,0,1,0,red
35,22,8,18,18,10,14,1,1,dodgerblue
4,13,1,1,9,3,5,5,0,red
12,15,3,5,8,1,9,5,1,dodgerblue
0,11,0,1,1,0,0,2,0,red
0,2,0,0,0,0,0,0,0,red
18,41,6,18,6,2,8,2,1,dodgerblue
0,2,0,0,1,0,0,1,0,red
0,2,0,0,0,0,0,0,0,red
3,9,1,1,2,5,1,3,0,red
12,28,1,8,4,3,5,7,1,dodgerblue
16,17,3,9,10,7,5,5,1,dodgerblue
0,4,0,0,0,0,0,0,0,red
2,10,0,1,1,1,0,2,0,red
0,6,0,0,0,2,0,2,0,red
2,6,0,1,1,2,2,1,0,red
0,3,0,0,0,0,0,1,0,red
4,6,1,0,0,0,0,1,0,red
0,2,0,0,0,0,0,0,0,red
3,11,0,2,2,0,1,2,0,red
0,4,0,0,1,0,2,2,0,red
0,3,0,0,0,0,0,0,0,red
0,2,0,0,0,0,0,1,0,red
3,11,1,3,3,5,1,3,0,red
0,2,0,0,1,0,0,1,0,red
1,4,1,1,2,1,1,2,0,red
0,3,0,0,0,0,0,1,0,red
24,7,4,5,22,21,5,1,1,dodgerblue
0,6,0,0,0,0,3,1,0,red
0,1,0,0,1,0,0,0,0,red
1,2,0,0,0,0,0,1,0,red
6,15,2,6,4,4,3,2,0,red
0,6,0,2,2,0,2,1,0,red
0,5,0,2,0,0,0,0,0,red
0,4,0,0,0,0,0,1,0,red
1,4,0,1,0,0,1,2,0,red
0,3,0,0,1,0,0,1,0,red
0,3,0,0,0,0,0,0,0,red
7,13,2,4,4,2,7,7,1,dodgerblue
5,14,1,8,2,1,7,3,0,red
4,15,1,6,10,7,6,3,1,dodgerblue
1,4,0,1,0,0,1,1,0,red
11,22,1,9,3,4,7,2,1,dodgerblue
1,5,0,0,0,0,0,1,0,red
4,13,2,4,3,2,2,3,0,red
57,55,12,28,15,13,29,6,2,peru
0,8,0,2,0,0,3,0,0,red
1,3,0,0,1,0,1,1,0,red
0,7,0,1,0,0,1,1,0,red
1,2,0,0,0,1,0,1,0,red
0,2,0,0,0,0,0,0,0,red
17,37,3,18,17,14,12,5,1,dodgerblue
8,12,1,3,8,5,4,5,1,dodgerblue
0,2,0,0,0,0,0,0,0,red
1,4,0,0,2,0,1,3,0,red
0,2,0,0,0,0,0,0,0,red
3,10,2,3,1,0,6,7,0,red
0,2,0,0,0,0,0,1,0,red
16,30,2,15,18,11,7,2,1,dodgerblue
2,3,0,2,1,0,1,1,0,red
2,6,0,1,1,2,1,2,0,red
6,10,0,6,5,2,5,2,0,red
0,2,0,1,0,0,0,0,0,red
5,17,0,8,7,1,9,5,1,dodgerblue
13,31,0,17,14,15,12,1,1,dodgerblue
3,2,0,1,4,3,1,0,0,red
0,1,0,0,1,1,1,1,0,red
12,30,2,6,2,3,1,2,0,red
0,2,0,0,0,0,0,0,0,red
21,43,0,23,26,20,23,5,2,peru
1,3,0,2,0,0,1,1,0,red
28,44,5,25,8,1,10,3,1,dodgerblue
7,19,0,10,4,6,8,4,1,dodgerblue
2,15,0,3,0,0,1,0,0,red
2,6,0,2,0,0,1,5,0,red
66,51,31,49,17,11,9,3,2,peru
118,119,29,54,40,18,40,17,2,peru
9,20,0,4,11,4,14,6,1,dodgerblue
20,31,7,11,10,7,8,3,1,dodgerblue
0,10,0,3,1,0,1,2,0,red
1,16,2,6,3,0,6,2,0,red
25,25,3,20,5,8,4,2,1,dodgerblue
17,10,4,9,9,6,6,2,1,dodgerblue
9,15,0,4,6,5,8,5,1,dodgerblue
0,12,0,5,1,0,2,0,0,red
5,9,2,4,1,1,1,1,0,red
22,25,2,13,9,9,12,6,1,dodgerblue
0,4,0,0,0,0,0,0,0,red
1,4,0,0,1,1,1,0,0,red
0,2,0,0,0,0,0,0,0,red
0,4,0,0,1,0,0,1,0,red
42,51,8,31,26,22,32,6,2,peru
0,2,0,0,1,0,0,1,0,red
2,13,0,4,2,2,7,3,0,red
0,3,0,0,1,0,0,1,0,red
15,27,1,17,15,5,12,2,1,dodgerblue
0,2,0,0,0,0,0,0,0,red
14,40,3,12,2,1,16,6,1,dodgerblue
0,2,0,0,0,0,0,1,0,red
3,11,1,5,4,2,8,1,0,red
0,2,0,0,0,0,0,0,0,red
0,1,0,0,2,1,0,0,0,red
3,10,0,3,1,0,1,1,0,red
34,39,4,11,19,14,9,4,1,dodgerblue
11,14,6,5,15,4,11,15,1,dodgerblue
0,2,0,0,1,0,0,2,0,red
0,7,0,2,1,1,1,2,0,red
0,3,0,0,0,0,0,1,0,red
0,1,0,1,0,0,0,0,0,red
0,6,0,0,0,0,0,1,0,red
12,19,2,8,5,8,5,5,1,dodgerblue
1,0,1,0,1,2,0,0,0,red
23,21,0,11,7,5,8,2,1,dodgerblue
7,6,1,5,4,5,3,4,0,red
6,8,1,8,1,3,2,0,0,red
1,3,0,1,0,0,0,1,0,red
0,2,0,0,0,0,0,0,0,red
1,2,1,1,0,0,0,1,0,red
0,1,0,0,0,0,0,0,0,red
0,2,0,0,0,0,0,0,0,red
1,5,0,0,0,1,0,0,0,red
0,2,0,0,0,0,0,0,0,red
7,9,0,3,1,4,2,3,0,red
9,21,2,10,4,1,7,3,1,dodgerblue
4,14,1,7,2,1,5,3,0,red
2,8,0,4,1,2,2,3,0,red
0,4,0,0,1,0,0,3,0,red
2,4,0,1,0,1,0,1,0,red
10,16,4,10,1,1,4,2,0,red
1,1,0,0,0,1,0,0,0,red
1,9,0,2,1,0,0,1,0,red
0,2,0,0,0,0,0,1,0,red
0,2,0,0,0,0,0,0,0,red
1,5,0,1,1,1,2,1,0,red
13,15,0,5,2,2,9,4,0,red
2,4,0,3,2,1,5,5,0,red
26,64,5,38,12,13,17,6,2,peru
13,36,0,10,9,12,8,8,1,dodgerblue
2,8,0,3,2,0,5,1,0,red
21,23,2,7,25,10,12,9,1,dodgerblue
0,3,0,1,0,1,0,1,0,red
1,4,0,0,0,1,0,1,0,red
0,3,0,1,0,0,0,0,0,red
0,3,0,0,1,0,0,1,0,red
