controller_support,dlc,website,pc,mac,linux,demos,reviews,movies,recommendations,achievements,developer,publisher,positive,negative,initialprice,language_count,metacritic_score,single_player,multi_player,online_multi_player,local_multi_player,valve_anti_cheat,steam_achievements,steam_trading_cards,steam_cloud,full_controller_support,partial_controller_support,steam_leaderboards,indie,action,casual,adventure,strategy,simulation,early access,rpg,free_to_play,racing,sports,violent,gore,sexual_content,nudity,education,self_published,label
0,0,0,1,1,1,0,0,0,1,1,Valve,Valve,124534,3339,9.99,8,0.88,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
0,0,0,1,1,1,0,0,0,1,1,Valve,Valve,3318,633,4.99,9,0.0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
0,0,1,1,1,1,0,0,0,1,1,Valve,Valve,3416,398,4.99,5,0.79,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
0,0,0,1,1,1,0,0,0,1,1,Valve,Valve,1273,267,4.99,9,0.0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
0,0,0,1,1,1,0,0,0,1,1,Gearbox Software,Valve,5250,288,4.99,4,0.0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0,0,0,1,1,1,0,0,0,1,1,Valve,Valve,2758,684,4.99,9,0.0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
0,1,1,1,1,1,0,0,0,1,1,Valve,Valve,27755,1100,9.99,8,0.96,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
0,0,0,1,0,0,0,0,0,1,1,Valve,Valve,12120,1439,9.99,8,0.65,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
0,0,0,1,1,1,0,0,0,1,1,Gearbox Software,Valve,3822,420,4.99,3,0.71,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0,1,1,1,1,0,1,0,1,1,1,Valve,Valve,67902,2419,9.99,18,0.96,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
0,0,0,1,1,1,0,0,0,1,1,Valve,Valve,76640,3497,9.99,12,0.88,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
0,0,0,1,1,1,0,0,0,1,1,Valve,Valve,3767,1053,9.99,11,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
0,0,1,1,1,0,0,0,0,1,1,Valve,Valve,10489,1210,9.99,1,0.8,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
0,0,0,1,1,0,0,0,0,1,1,Valve,Valve,6020,787,4.99,1,0.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
0,0,1,1,0,0,0,0,0,1,1,Valve,Valve,5783,1020,0.0,9,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
